Hugo_Symbol,p_values,p_values_fdr,significance:p_vlaue_fdr
HIST3H2A,3.992417898227317e-11,1.5582697512850635e-10,True
LXN,1.7671094744159914e-07,4.312915536950587e-07,True
CNKSR2,1.7111044341718963e-12,8.46002550095006e-12,True
SCML1,0.004456068417772076,0.006603635748221036,True
GSDMD,3.7463146170598573e-07,8.809908114580593e-07,True
AKR1C1,0.00739779903005631,0.010659519413147281,True
C3orf62,3.912050498137707e-09,1.1583934239857541e-08,True
CRISPLD2,1.8880820319946962e-05,3.681333758770697e-05,True
DOCK5,8.238232134324727e-09,2.344425142492494e-08,True
SLC33A1,4.4723599402152885e-11,1.731899080188727e-10,True
STK17B,3.092514977814856e-12,1.4561795656840093e-11,True
RP5-966M1.6,2.368194739887386e-09,7.206370289158815e-09,True
HAGHL,0.011180150651187517,0.01574735444166557,True
CDC37L1,1.9639476929147153e-14,1.4978894655674045e-13,True
KRT10,6.32534799295302e-15,5.6036095681160726e-14,True
CYHR1,0.000825814364977351,0.0013370143537941648,True
VWA1,1.518608900679967e-06,3.3434257958123437e-06,True
TNFAIP8L2,1.7794005354384757e-15,1.9064477063856077e-14,True
PFDN2,6.664194845218935e-15,5.86768429924348e-14,True
TCP1,9.129823957543238e-13,4.743389740347652e-12,True
ALG9,3.658108783225866e-09,1.088797884738574e-08,True
CYBA,3.3815973998483513e-09,1.0101520851181093e-08,True
GINS1,2.8597988341441255e-17,1.3176754528214198e-15,True
GPX3,8.450565914442319e-18,1.2851957852852046e-15,True
IPO9,5.537195926992678e-12,2.4949154835367372e-11,True
COX19,0.0010832759790317052,0.0017320985318190214,True
LMF1,8.162057892954633e-12,3.560594699514931e-11,True
RDH14,0.0018295807122528068,0.002850983835844059,True
GDE1,6.087288140310258e-07,1.3959631305437369e-06,True
LSM14B,1.1488166422722712e-13,7.224538585822165e-13,True
TLE2,4.197925449112816e-15,3.9114974181997794e-14,True
EIF4EBP3,1.2570279868900768e-10,4.527764485722702e-10,True
LRP2BP,2.946136366535271e-17,1.3176754528214198e-15,True
PELO,5.508722721251148e-11,2.1039837499361834e-10,True
CDIPT,0.0003595529090509665,0.0006065107415150324,True
C19orf44,4.816736324288531e-05,8.965533886659237e-05,True
PABPN1,1.6242054690568182e-06,3.5665627911473923e-06,True
