Hugo_Symbol,p_values,p_values_fdr,significance:p_vlaue_fdr
HIST3H2A,1.0089294427154326e-08,4.682766287724099e-08,True
LXN,1.725266667615396e-06,4.29019457075802e-06,True
CNKSR2,1.2658797980080207e-08,5.6302969903678055e-08,True
SCML1,0.016018532187551015,0.02223008865198777,True
GSDMD,1.4930817614885294e-06,3.7544377626949558e-06,True
AKR1C1,0.00011965517407476322,0.00022211939954239573,True
C3orf62,4.583913925572416e-08,1.6425453861079337e-07,True
CRISPLD2,2.0893271788382714e-06,5.108722861207521e-06,True
DOCK5,1.4945133405887308e-05,3.1783476497193553e-05,True
SLC33A1,5.063849902320951e-09,2.742257274689481e-08,True
STK17B,4.253518335686794e-09,2.4033593531062773e-08,True
RP5-966M1.6,7.582444917112655e-09,3.752126495076514e-08,True
HAGHL,0.005042948789367611,0.007459919535564779,True
CDC37L1,1.3394511022385218e-08,5.886293002078469e-08,True
KRT10,2.228554183152968e-09,1.5091443949026863e-08,True
CYHR1,0.0002396514196804627,0.0004261867690940903,True
VWA1,0.001084304825423952,0.0017569887638240306,True
TNFAIP8L2,9.06805772149548e-10,1.093136886055739e-08,True
PFDN2,1.023291039922917e-09,1.093136886055739e-08,True
TCP1,3.553965267974363e-09,2.107678486408228e-08,True
ALG9,5.885483223611941e-07,1.6013816772388768e-06,True
CYBA,7.906875722375847e-07,2.0930321499240386e-06,True
GINS1,1.1100954635085601e-09,1.093136886055739e-08,True
GPX3,7.556929455863566e-10,1.093136886055739e-08,True
IPO9,6.860708631977539e-09,3.479704686359718e-08,True
SHKBP1,0.03492375090847877,0.046106824374778047,True
ENO3,0.028083291139889135,0.037619328042926864,True
COX19,9.062759682479183e-05,0.00017151530840800602,True
LMF1,1.1962409574708818e-08,5.3773256675278386e-08,True
RDH14,0.017793863530119643,0.024522456520368316,True
GDE1,2.8551696122053476e-05,5.801969777648816e-05,True
LSM14B,1.9791055568801153e-09,1.4011905120944259e-08,True
TLE2,1.3025210640480111e-09,1.1301381909306577e-08,True
EIF4EBP3,2.218010774931945e-08,8.77401789259202e-08,True
LRP2BP,7.556929455863566e-10,1.093136886055739e-08,True
PELO,2.7687864179239132e-08,1.0619623749919096e-07,True
CDIPT,0.0003481446655561856,0.0006051592851812889,True
C19orf44,2.85547595077107e-05,5.801969777648816e-05,True
PABPN1,3.19761362271102e-07,9.185030816816241e-07,True
NFKBIB,0.0320635128716165,0.042561640145779546,True
ZWINT,8.031090907046913e-10,1.093136886055739e-08,True
DYNLL1,7.162525846191617e-06,1.6077525206985472e-05,True
NRXN3,0.0006438551330081088,0.0010768319704439035,True
FYTTD1,9.464115928229098e-08,3.111181782305569e-07,True
CAPRIN1,2.741966763304474e-07,8.016157697763545e-07,True
AOC3,8.031090907046913e-10,1.093136886055739e-08,True
KIFC3,5.579682013024585e-07,1.5278016607227723e-06,True
DOCK11,8.53422673646545e-10,1.093136886055739e-08,True
TMEM231,7.666395813806118e-06,1.7101883740121472e-05,True
DNAH17,0.007129305080006522,0.0103712627584937,True
DCHS1,9.63065645576518e-07,2.5021746168347647e-06,True
ZFYVE19,0.00025655038305573007,0.00045478787760777184,True
NTRK1,0.00024887069031871527,0.00044153652821770636,True
CCDC62,0.0095437658460508,0.013636839300305166,True
SLC5A8,4.778329681962615e-09,2.6163437482061546e-08,True
WDR53,7.556929455863566e-10,1.093136886055739e-08,True
NLN,1.3025210640480111e-09,1.1301381909306577e-08,True
TBC1D31,1.383114626082743e-09,1.150375790350476e-08,True
ZNF597,8.031090907046913e-10,1.093136886055739e-08,True
RNF114,0.0009134810927946906,0.0014944962475640002,True
